"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Ontario","2016A000235","Electricity producer, electric utilities","Total thermal generation","Megawatt hours","210","units ","0","v52300564","7.2.6","119453712","","","","0"
"2005","Ontario","2016A000235","Electricity producer, electric utilities","Conventional steam turbine","Megawatt hours","210","units ","0","v52300565","7.2.7","34524181","","","","0"
"2005","Ontario","2016A000235","Electricity producer, electric utilities","Nuclear steam turbine","Megawatt hours","210","units ","0","v52300566","7.2.8","77968854","","","","0"
"2005","Ontario","2016A000235","Electricity producer, electric utilities","Internal combustion turbine","Megawatt hours","210","units ","0","v52300567","7.2.9","37715","","","","0"
"2005","Ontario","2016A000235","Electricity producer, electric utilities","Combustion turbine","Megawatt hours","210","units ","0","v52300560","7.2.10","6922962","","","","0"
"2005","Ontario","2016A000235","Electricity producer, industries","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300568","7.3.1","4720233","","","","0"
"2005","Ontario","2016A000235","Electricity producer, industries","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300570","7.3.2","928993","","","","0"
"2005","Ontario","2016A000235","Electricity producer, industries","Hydraulic turbine","Megawatt hours","210","units ","0","v52300571","7.3.3","928993","","","","0"
"2005","Ontario","2016A000235","Electricity producer, industries","Total thermal generation","Megawatt hours","210","units ","0","v52300572","7.3.6","3791240","","","","0"
"2005","Ontario","2016A000235","Electricity producer, industries","Conventional steam turbine","Megawatt hours","210","units ","0","v52300573","7.3.7","2070318","","","","0"
"2005","Ontario","2016A000235","Electricity producer, industries","Internal combustion turbine","Megawatt hours","210","units ","0","v52300574","7.3.9","134226","","","","0"
"2005","Ontario","2016A000235","Electricity producer, industries","Combustion turbine","Megawatt hours","210","units ","0","v52300569","7.3.10","1586696","","","","0"
"2005","Manitoba","2016A000246","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300575","8.1.1","37049409","","","","0"
"2005","Manitoba","2016A000246","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300577","8.1.2","36493075","","","","0"
